Name,Kategorie,Anzahl Schichten,Schichten,U-Wert [W/m²K],OIB-konform,Passivhaus-tauglich,last_updated
AT_Außenwand_2schalig,Unbekannt,5,AT_Kalkzementputz_2cm | AT_Ziegel_25cm | AT_Steinwolle_16cm | AT_Luftschicht_5cm | AT_Ziegel_25cm,0.165,N/A,N/A,2025-08-14T15:09:29
AT_Außenwand_Holzbau,Unbekannt,5,AT_Kalkzementputz_2cm | AT_OSB_Platte_1.5cm | AT_Steinwolle_16cm | AT_OSB_Platte_1.5cm | AT_Gipskarton_1.25cm,0.198,N/A,N/A,2025-08-14T15:09:29
AT_Außenwand_Passivhaus,Unbekannt,5,AT_Kalkzementputz_2cm | AT_Ziegel_38cm | AT_EPS_WDVS_16cm | AT_Steinwolle_16cm | AT_Gipskarton_1.25cm,0.098,N/A,N/A,2025-08-14T15:09:29
AT_Außenwand_WDVS_Standard,Unbekannt,4,AT_Kalkzementputz_2cm | AT_Ziegel_25cm | AT_EPS_WDVS_16cm | AT_Gipskarton_1.25cm,0.186,N/A,N/A,2025-08-14T15:09:29
AT_Bodenplatte_Standard,Unbekannt,3,AT_Stahlbeton_20cm | AT_EPS_WDVS_16cm | AT_Bitumen_Abdichtung,0.206,N/A,N/A,2025-08-14T15:09:29
AT_Dach_Passivhaus,Unbekannt,6,AT_Tondachziegel | AT_Luftschicht_5cm | AT_OSB_Platte_1.5cm | AT_Zellulose_Dämmung_18cm | AT_Steinwolle_16cm | AT_Gipskarton_1.25cm,0.104,N/A,N/A,2025-08-14T15:09:29
AT_Fenster_3fach_Standard,Unbekannt,1,AT_3fach_Verglasung,0.8,N/A,N/A,2025-08-14T15:09:29
AT_Fenster_Passivhaus,Unbekannt,1,AT_Passivhaus_Fenster,0.6,N/A,N/A,2025-08-14T15:09:29
AT_Flachdach_Warmdach,Unbekannt,4,AT_Bitumen_Abdichtung | AT_PUR_Dachdämmung_20cm | AT_Stahlbeton_20cm | AT_Gipskarton_1.25cm,0.12,N/A,N/A,2025-08-14T15:09:29
AT_Haustür_gedämmt,Unbekannt,3,AT_Massivholz_BSH_20cm | AT_Steinwolle_16cm | AT_Massivholz_BSH_20cm,0.128,N/A,N/A,2025-08-14T15:09:29
AT_Innentür_Standard,Unbekannt,1,AT_Massivholz_BSH_20cm,0.587,N/A,N/A,2025-08-14T15:09:29
AT_Innenwand_Ziegel_14cm,Unbekannt,3,AT_Gipskarton_1.25cm | AT_Ziegel_25cm | AT_Gipskarton_1.25cm,1.219,N/A,N/A,2025-08-14T15:09:29
AT_Oberste_Geschoßdecke,Unbekannt,3,AT_Gipskarton_1.25cm | AT_Stahlbeton_20cm | AT_Steinwolle_16cm,0.205,N/A,N/A,2025-08-14T15:09:29
AT_Steildach_Standard,Unbekannt,5,AT_Tondachziegel | AT_Luftschicht_5cm | AT_OSB_Platte_1.5cm | AT_Steinwolle_16cm | AT_Gipskarton_1.25cm,0.196,N/A,N/A,2025-08-14T15:09:29
AT_Trennwand_Leichtbau,Unbekannt,3,AT_Gipskarton_1.25cm | AT_Steinwolle_16cm | AT_Gipskarton_1.25cm,0.207,N/A,N/A,2025-08-14T15:09:29
AT_Zwischendecke_Standard,Unbekannt,3,AT_Gipskarton_1.25cm | AT_Stahlbeton_20cm | AT_Gipskarton_1.25cm,2.841,N/A,N/A,2025-08-14T15:09:29
LAHOF_AW01_Aussenwand_39_hinterlueftet,Unbekannt,7,LAHOF_Holzschalung_2cm | LAHOF_Luftschicht_hinterlueftet_3cm | LAHOF_Winddichtung_sd0p2_0p04cm | LAHOF_FSP1_035_16cm | LAHOF_Massivholz_BSH_12cm | LAHOF_Mineralwolle_035_4cm | LAHOF_Gipskarton_GKF15_1p5cm,0.14,N/A,N/A,2025-08-14T15:09:29
LAHOF_AW02_Aussenwand_37_hinterlueftet,Unbekannt,7,LAHOF_Holzschalung_2cm | LAHOF_Luftschicht_hinterlueftet_3cm | LAHOF_Winddichtung_sd0p2_0p04cm | LAHOF_FSP1_035_16cm | LAHOF_Massivholz_BSH_10cm | LAHOF_Mineralwolle_035_4cm | LAHOF_Gipskarton_GKF15_1p5cm,0.143,N/A,N/A,2025-08-14T15:09:29
LAHOF_AW10_Aussenwand_Stahlbeton_H4,Unbekannt,6,LAHOF_Deckputz_0p3cm | LAHOF_Unterputz_0p6cm | LAHOF_EPS_F_PLUS_031_20cm | LAHOF_Klebemoertel_0p5cm | LAHOF_Stahlbeton_20cm | LAHOF_Duennputzspachtel_0p2cm,0.149,N/A,N/A,2025-08-14T15:09:29
LAHOF_AW11_Aussenwand_TG_Abfahrt_H4,Unbekannt,3,LAHOF_Duennputzspachtel_0p2cm | LAHOF_Stahlbeton_20cm | LAHOF_Holzwolle_Steinwolle_20cm,0.404,N/A,N/A,2025-08-14T15:09:29
LAHOF_DD10_Boden_zu_TG_Abfahrt_H4,Unbekannt,7,LAHOF_Holzwolle_Steinwolle_20cm | LAHOF_Stahlbeton_20cm | LAHOF_Daemmschuettung_050_8cm | LAHOF_Dampfbremse_sd250_0p04cm | LAHOF_Trittschalldaemm_MW_T033_3cm | LAHOF_Heizestrich_E225_7p5cm | LAHOF_Bodenbelag_1cm,0.197,N/A,N/A,2025-08-14T15:09:29
